번호,제목,작성자,작성일자,조회수
공지,[기술사업부] 2025년도 하반기 지식재산권 2차 교육 운영 및 신청 안내(NT...,황기수,2025-07-07,131
공지,[취업전략과] 자기소개서 1:1 클리닉 참가자 모집,원혜경,2025-07-07,959
공지,[부산대 KDT] AI·SW 코딩 교육생 모집(AI 데이터 분석 풀스택 웹 개발...,김주리,2025-07-02,501
공지,2025학년도 후기 신입생 등록금 납부 안내,최혜진,2025-06-24,828
공지,발전재단 카카오톡 이모티콘 공모전 개최 안내,김동현,2025-06-19,1506
233,2025년 7월 도서관 운영 일정 및 열람실별 이용 안내,도서관자치위원회,2025-07-09,37
232,「2025년 WSCE 리더스포럼」개최 안내 및 홍보,학생과,2025-07-08,174
231,2025 관광 마이스 미니 잡(JOB)페어 행사 홍보 및 개최 안내,학생과,2025-07-08,132
230,[부산대학교 창업지원단] 2025 제2회 부산 패션 Re-Flying 아이디어 ...,박상영,2025-07-08,136
229,[에너지신산업] “2025 첨단분야 혁신융합대학 Energy & ECO Care...,정동순,2025-07-07,196
228,[효원상담원] 마음건강정보 No.5 부산광역시 사하구/ 사상구 정신건강증진사업,김예주,2025-07-07,95
227,2025년 7월 도서관 운영 일정 및 열람실별 이용 안내,도서관자치위원회,2025-07-07,106
226,[에너지신산업] Energy Up! 에너지 캠프 with 지열에너지공학 [서울대...,장지연,2025-07-07,221
225,딜로이트 안진회계법인 채용설명회 일정 안내(7/18),손정섭,2025-07-07,129
224,[부산대학교 K-Culture 연구위원회] 「부산대학교 K-Culture 연구 ...,이정민,2025-07-04,353
223,[효원상담원] 예비교원을 위한 여름방학 학생상담 Level Up 프로그램 안내,김미희,2025-07-04,210
222,[부산광역시장과의 청년 토크콘서트] '청년 돌아오는 부산으로' 홍...,학생과,2025-07-04,264
221,[경진대회 담당자가 강추천👉] 🎯 포트폴리오로 경쟁력을 만든 진짜 경험자와 ...,김은희,2025-07-04,315
220,2025년 7월 도서관 운영 일정 및 열람실별 이용 안내,도서관자치위원회,2025-07-04,151
219,[언어교육원] 2025학년도 7월 정기 모의 테스트(토익/ 토플) 실시 안내,성혜인,2025-07-04,265
